location_label,latitude,longitude,observed_at_utc,hour,day,month,day_of_week,is_weekend,weather_main,weather_description,temperature_c,feels_like_c,temp_min_c,temp_max_c,humidity_pct,pressure_hpa,visibility_m,wind_speed_mps,wind_deg,cloud_cover_pct,rain_1h_mm,snow_1h_mm,aqi,aqi_label,co,no,no2,o3,so2,pm2_5,pm10,nh3,air_pollution_source,aqi_lag_1,aqi_lag_24,aqi_change_rate_1h,aqi_pct_change_1h,aqi_3h_mean,aqi_24h_mean,pm2_5_24h_mean,temperature_24h_mean,humidity_24h_mean,target_aqi_t_plus_1h,target_aqi_t_plus_24h,target_aqi_t_plus_72h
"DHA Phase 4, Lahore, Pakistan",31.4697,74.3984,2026-08-04 13:05:54+00:00,13,4,8,1,0,Clouds,overcast clouds,37.21,42.51,37.21,37.21,42,997,10000,2.75,72,89,,,3,Moderate,541.65,0.2,9.2,103.13,2.38,49.11,53.75,4.23,openweather,,,,,,,,,,3.0,,
"DHA Phase 4, Lahore, Pakistan",31.4697,74.3984,2026-08-04 16:14:58+00:00,16,4,8,1,0,Clouds,broken clouds,34.33,39.85,34.33,34.33,52,999,10000,3.67,120,60,,,3,Moderate,763.14,0.0,18.34,38.48,2.26,47.84,55.83,5.6,openweather,3.0,,0.0,0.0,3.0,3.0,49.11,37.21,42.0,4.0,,
"DHA Phase 4, Lahore, Pakistan",31.4697,74.3984,2026-08-04 18:41:55+00:00,18,4,8,1,0,Clouds,broken clouds,32.84,38.1,32.84,32.84,57,999,10000,3.48,137,65,,,4,Poor,796.67,0.0,17.11,31.33,1.84,54.23,62.45,3.34,openweather,3.0,,1.0,0.3333333333333333,3.0,3.0,48.475,35.769999999999996,47.0,4.0,,
"DHA Phase 4, Lahore, Pakistan",31.4697,74.3984,2026-08-04 20:38:13+00:00,20,4,8,1,0,Clouds,overcast clouds,32.13,36.77,32.13,32.13,58,998,10000,3.22,136,87,,,4,Poor,777.0,0.0,15.48,29.5,1.72,57.38,65.8,2.46,openweather,4.0,,0.0,0.0,3.3333333333333335,3.3333333333333335,50.39333333333334,34.79333333333333,50.333333333333336,4.0,,
"DHA Phase 4, Lahore, Pakistan",31.4697,74.3984,2026-08-04 22:17:36+00:00,22,4,8,1,0,Clouds,overcast clouds,31.36,35.62,31.36,31.36,60,998,10000,3.09,138,89,,,4,Poor,755.28,0.0,14.26,30.32,1.87,58.49,67.68,2.17,openweather,4.0,,0.0,0.0,3.6666666666666665,3.5,52.14,34.1275,52.25,4.0,,
"DHA Phase 4, Lahore, Pakistan",31.4697,74.3984,2026-08-05 00:08:55+00:00,0,5,8,2,0,Clouds,overcast clouds,30.43,34.59,30.43,30.43,64,998,10000,2.26,147,98,,,4,Poor,715.42,0.0,12.7,29.23,1.97,58.76,71.69,2.03,openweather,4.0,,0.0,0.0,4.0,3.6,53.410000000000004,33.574,53.8,4.0,,
"DHA Phase 4, Lahore, Pakistan",31.4697,74.3984,2026-08-05 04:15:10+00:00,4,5,8,2,0,Clouds,broken clouds,33.95,38.62,33.95,33.95,51,999,10000,1.0,193,82,,,4,Poor,698.13,2.7,8.44,42.27,2.98,63.5,88.66,2.17,openweather,4.0,,0.0,0.0,4.0,3.6666666666666665,54.30166666666667,33.050000000000004,55.5,3.0,,
"DHA Phase 4, Lahore, Pakistan",31.4697,74.3984,2026-08-05 07:44:06+00:00,7,5,8,2,0,Clouds,broken clouds,40.73,45.08,40.73,40.73,31,996,10000,1.84,284,81,,,3,Moderate,340.77,0.18,1.31,101.88,1.78,44.8,69.6,0.43,openweather,4.0,,-1.0,-0.25,4.0,3.7142857142857144,55.61571428571428,33.17857142857143,54.857142857142854,3.0,,
"DHA Phase 4, Lahore, Pakistan",31.4697,74.3984,2026-08-05 10:41:51+00:00,10,5,8,2,0,Clouds,broken clouds,40.26,42.75,40.26,40.26,28,994,10000,1.35,7,71,,,3,Moderate,324.55,0.3,2.46,100.42,1.49,41.69,71.86,1.67,openweather,3.0,,0.0,0.0,3.6666666666666665,3.625,54.26375,34.1225,51.875,3.0,,
"DHA Phase 4, Lahore, Pakistan",31.4697,74.3984,2026-08-05 12:58:31+00:00,12,5,8,2,0,Clouds,overcast clouds,36.77,42.37,36.77,36.77,44,995,10000,2.97,91,88,,,3,Moderate,402.13,0.33,8.2,80.09,1.76,43.08,78.17,4.0,openweather,3.0,,0.0,0.0,3.3333333333333335,3.5555555555555554,52.86666666666667,34.80444444444444,49.22222222222222,3.0,,
